Comp,Epsilon,cm0,cm1,cm2,sTot,pTot,dTot,fTot,NAtom,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
BaF2,7.32,7854.389393,114.438842,71.74956969,2,3.333333333,0,0,3,58.44126878,55.78063549,8.88463259,2.95,3.09,1.456639969,91.8,124.5922148,264.3,1.1311434,3,4.694961429,0.005646733,0.003108879,0.008302941,0.001008109,0,-4.180652951,6.6189,4.442808966,4.442808965,4.44280897,60.00000004,60.00000004,59.99999998
Ba(NO3)2,4.95,9645.4941,7315.146609,7315.146609,2,3.333333333,0,0,36,29.03722222,38.29485397,1.90443152,3.067777778,2.55,0.787087144,34.96,82.39771518,262.76,1.4146174,9,3.041012382,0.012279147,0.003492436,0.014620701,0.002177431,0,-1.686542396,3.6154,8.29526906,8.29526906,8.29526906,90,90,90
BaO,34,7848.786664,70.24163601,0,2,2,0,0,2,76.663,60.664,14.32956363,2.165,2.55,1.275,136.62,131.38,262.76,1.1215673,2,5.75312502,0.002679742,0.001929199,0.005330088,0.000793799,0,-2.833554606,2.0906,3.970321984,3.970321978,3.97032198,59.99999998,60.00000003,60.00000002
BaO2,10.7,7852.433661,109.1870661,30.92426714,2,2.666666667,0,0,3,56.44166667,57.1945677,7.559167368,2.59,2.55,1.202081528,92.82666667,123.8662519,262.76,1.1490298,3,5.39192433,0.005103079,0.002624989,0.007338611,0.001092924,0,-2.167760554,2.2284,3.865934886,3.865934886,4.432479778,115.8547779,115.854778,89.99999997
BaS,19.23,7855.824769,377.7102767,0,2,2,0,0,2,84.6935,52.6335,25.99198061,1.735,1.69,0.845,146.465,121.535,243.07,1.2989431,2,4.178928789,0.001130167,0.000479145,0.001754169,0.000589396,0,-2.410637557,2.1515,4.565944845,4.565944839,4.56594484,59.99999999,60.00000004,60.00000002
BaSO4,11.4,10030.60105,7210.87018,7209.67059,2,3.333333333,0,0,24,38.89716667,44.40811316,3.466336298,2.871666667,2.55,0.940220128,52.315,96.72485026,262.76,1.4087931,6,4.250832613,0.008359665,0.003192814,0.010837161,0.001613956,0,-2.833723849,5.9507,5.55696133,7.27706852,9.01825908,90,90,90
BaSnO3,18,8139.216776,5708.33718,91.89426204,2,2.8,2,0,5,60.8068,55.19300391,4.920836078,2.634,2.55,1.043524796,65.224,102.4043768,262.76,1.6016451,5,6.869983568,0.006200073,0.002999276,0.009095601,0.001354589,0,-2.601554575,0.3666,4.18863396,4.18863396,4.18863396,90,90,90
BaWO4,35.5,17122.70485,14052.31564,8128.624891,2,2.666666667,0.666666667,2.333333333,12,64.19383333,69.46777803,3.806087053,2.725,2.55,1.037846328,60.66,96.16047074,262.76,1.4842769,6,6.023399912,0.007780355,0.003210293,0.010342166,0.001540237,0,-2.731492457,4.8822,5.743541787,5.743316126,7.611493632,112.1610765,112.1640856,89.99925419
Be3Al2(SiO3)6,6.86,1543.913747,436.4907139,323.9181018,2,2.965517241,0,0,58,18.53419401,6.096122169,0.572831201,2.801724138,1.87,0.822184093,18.04517241,16.50639011,40.76,2.8806256,29,2.566869225,0.020676838,0.006682071,0.026658612,0.008289886,0,-3.285083059,5.3196,9.30347139,9.303471395,9.27757703,90,90,120
BeO,7.35,113.1620253,49.82150539,8.00473128,2,2,0,0,4,12.50559155,3.49340845,5.764857937,2.505,1.87,0.935,21.475,16.235,32.47,0.1679553,2,2.965548874,0.005655011,0.002103592,0.00840343,0.00329475,0,-3.121645386,7.4598,2.71031869,2.710318689,4.40295026,90,90,119.9999999
BiOF3,40,24186.68076,19930.87227,18593.45932,2,4.4,2,2.8,20,56.3949219,76.30158252,4.440555459,3.456,2.08,0.805620258,13.268,18.37568219,46.3,0.5743204,5,4.727082906,0.009425367,0.003136347,0.011744459,0.002720785,0,-2.272334145,1.7646,4.167795928,14.8288524,6.445144913,90,95.91730021,90
Bi2O3,18.2,32753.61782,19174.45119,18732.32409,2,3.6,4,5.6,20,93.19156,94.54119197,5.074030229,2.824,1.54,0.754442841,23.144,21.92783218,44.76,1.0649875,5,9.060332705,0.006157308,0.002733888,0.008957243,0.002545285,0,-1.659867988,2.1866,5.933348699,7.597844338,8.27644683,90,90,113.7171409
Ti3(BiO3)4,112,29955.56833,20917.09266,19744.68177,2,3.157894737,2.421052632,2.947368421,38,61.65845263,76.91521805,1.202123787,2.815789474,1.9,0.824406107,31.88947368,39.88705495,109.1,3.2477069,19,7.689444953,0.01367088,0.005307307,0.018402476,0.005229237,0,-2.567636173,2.4249,5.47042459,5.53592642,16.93558584,99.40666077,90,90
C,6.4,235.9189766,102.2190669,37.55468197,2,2,0,0,16,12.011,0,12.011,2.55,0,0,20.53,0,0,0.0753571,1,1.884349765,0.003580339,0,0.003580339,0.003580339,0,0,2.0775,4.27452407,4.93472515,8.02832801,90,90,90
CaB3H5O8,22.5,1294.264705,649.5442889,591.7009855,1.705882353,2.058823529,0,0,68,12.09058824,9.4698879,0.173526129,2.684705882,2.44,0.76017117,17.35561983,38.3681665,164.4928926,1.5131144,17,2.37298896,0.03728207,0.009946032,0.048436017,0.008616608,0.009938922,-2.328435624,5.5945,6.141223031,8.821334841,11.31061224,90,90,110.1224542
CaCO3,8.67,854.9286198,565.2479261,137.3708614,2,2.8,0,0,10,20.0172,10.14862285,3.381576267,2.774,2.44,0.951621774,41.05,64.24848823,163.76,0.9222819,5,2.613790238,0.008317874,0.00312577,0.010972138,0.001951907,0,-2.703808611,4.9995,6.44983864,6.449838635,6.449838639,46.11682224,46.11682232,46.11682223
CaF2,6.81,683.3047855,106.4879504,68.16426702,2,3.333333333,0,0,3,26.02493544,9.937017245,7.679114368,2.986666667,2.98,1.404785472,58.8,77.92316729,165.3,0.8015759,3,3.089832809,0.006194274,0.003212557,0.008930918,0.001295279,0,-4.245798521,7.1148,3.900437571,3.900437572,3.90043757,59.99999993,59.99999993,59.99999996
CaMoO4,24,4525.057161,3490.795709,765.1078823,1.833333333,2.666666667,0.833333333,0,12,33.33733333,29.34920165,3.503988485,2.82,2.44,0.938580488,43.74333333,61.16399422,163.76,1.1429492,6,4.065276241,0.008265636,0.003158293,0.010778778,0.001917509,0,-2.712723471,3.5057,5.308562802,5.308418499,6.906667073,112.5913725,112.5926994,90.0002568
Ca(NO3)2,6.54,1267.80115,600.6366911,600.6366911,2,3.333333333,0,0,36,18.23177778,7.766499995,1.84243315,3.08,2.44,0.753303834,23.96,51.28843404,163.76,1.0850499,9,2.278112419,0.012563988,0.003381915,0.014864661,0.002644374,0,-1.620290187,3.6222,7.82114007,7.82114007,7.82114007,90,90,90
CsPbCl3,14.37,21162.10845,18417.41335,7835.297055,1.8,3.4,2,2.8,10,89.29109039,70.00187504,10.31176223,2.414,2.37,0.967876025,104.578,148.4595125,376.07,2.7131557,5,3.934998961,0.002923574,0.001191686,0.004035435,0.000733028,0,-1.884677629,2.413,5.76365402,11.43859402,8.085590767,44.98074627,90,90
CuBr,8,2696.181554,1460.287801,0,1.5,2.5,10,0,2,71.725,8.179,35.39616301,2.43,1.06,0.53,34.15,12.35,24.7,0.350208,2,5.147663398,0.00154985,0.000222873,0.001825722,0.001279893,0,-0.25428131,0.4859,4.029812341,4.029812342,4.02981235,60.00000002,60.00000001,60.00000002
CuCl,8.3,1653.881448,411.9694559,0,1.5,2.5,5,0,2,49.498,14.048,22.75552245,2.53,1.26,0.63,35.715,10.785,21.57,0.3009825,2,4.165254486,0.002136199,0.00045823,0.002716523,0.001596278,0,-0.669330747,0.5612,3.821651739,3.821651741,3.82165174,60,59.99999999,60.00000001
CuO,18.1,1903.583355,1361.783305,67.09179268,1.5,2,5,0,4,39.7725,23.7735,12.78109817,2.67,1.54,0.77,25.87,20.63,41.26,0.2371777,2,5.938198139,0.003707596,0.001456726,0.005643737,0.002129942,0,-0.953606058,0,2.938095947,2.938095942,5.155227916,89.71167368,89.71167363,88.60010361
Cu2O,7.6,2501.020213,1339.67649,1339.67649,1.333333333,1.333333333,6.666666667,0,6,47.697,22.41387075,10.64088225,2.413333333,1.54,0.725962962,32.74666667,19.45015053,41.26,0.4468929,3,6.028165569,0.003266235,0.001326739,0.006185318,0.002334334,0,-0.649568572,0.4997,4.28781269,4.28781269,4.28781269,90,90,90
FeO,14.2,1490.180056,1024.687612,67.99902995,2,2,3,0,4,35.922,19.923,12.43616941,2.635,1.61,0.805,34.585,29.345,58.69,0.2275001,2,5.577374612,0.003760821,0.001478096,0.005721469,0.002152765,0,-1.668781473,0,4.16678461,3.204206586,4.53143338,45,90,90
Fe2O3,4.5,4483.009035,1179.94711,1179.468381,2,2.4,2.4,0,40,31.9374,19.52047366,4.477776383,2.796,1.61,0.788735697,28.716,28.7521106,58.69,0.4824627,5,4.936945918,0.007065514,0.002457922,0.009534977,0.00358764,0,-1.885685816,2.019,8.23585373,8.232416751,8.223949961,71.0687374,109.5638267,70.17116454
Fe3O4,20,2432.340737,1076.534763,1070.704028,2,2.285714286,2.571428571,0,14,33.07585714,19.71865614,3.292335588,2.75,1.61,0.796743371,30.39285714,29.04401768,58.69,0.7099628,7,4.949993151,0.007974626,0.002892167,0.011119847,0.004183964,0,-1.835756806,0,6.020903418,6.020902458,6.047049888,120.1437573,90.00000343,60.2875131
Ge,16.2,2458.356252,1637.643748,0,2,2,10,0,2,72.63,0,72.63,2.01,0,0,39.43,0,0,0.2571353,1,5.041967969,0.000858627,0,0.000858627,0.000858627,0,0,0,4.074959239,4.074959235,4.07495924,59.99999996,59.99999999,59.99999992
HIO3,7.5,9036.016762,6249.038529,6181.896771,1.8,3.4,2,0,20,35.181894,46.22734309,0.842137066,3.036,1.24,0.515736367,10.96542148,11.82069774,30.09289258,0.3616882,5,4.335262607,0.018230713,0.004260183,0.021986671,0.009520516,0.016585399,-0.940737322,3.213,5.71643709,5.89039595,8.00415994,90,90,90
CaNb2O6,16,6587.278577,4095.619929,3569.84148,1.777777778,2.666666667,0.888888889,0,36,35.76497111,31.43431041,2.372468923,2.76,2.44,0.975431528,45.82666667,59.90454926,163.76,1.5517395,9,4.493018409,0.01000233,0.00383692,0.013099376,0.002330336,0,-3.253529758,3.6052,5.27429004,5.94337408,15.18019783,90,90,90
Ca2Nb2O7,33,6829.741194,3811.153952,3576.352767,1.818181818,2.545454545,0.727272727,0,44,34.36015818,29.04640515,1.964802202,2.661818182,2.44,1.04521262,53.33454545,66.39817363,163.76,2.3437393,11,4.30727089,0.010483779,0.004479443,0.01439433,0.002560704,0,-3.313694253,3.1001,5.54829266,7.771140346,13.66033001,98.27688619,90,90
CaO,3.385,670.2187668,66.18873143,0,2,2,0,0,2,28.0385,12.0395,11.43441914,2.22,2.44,1.22,87.12,81.88,163.76,0.7919998,2,3.286686129,0.003135567,0.002072938,0.005966832,0.00106148,0,-3.323272566,3.6344,3.421878339,3.421878344,3.42187834,60.00000004,59.99999999,60.00000004
CaS,4.15,702.7236924,348.190552,0,2,2,0,0,2,36.069,4.009,17.81170368,1.79,1.58,0.79,96.965,72.035,144.07,0.9693756,2,2.565497938,0.001451075,0.000520071,0.002119036,0.000850484,0,-2.487846417,2.378,4.041992736,4.041992739,4.04199273,59.99999999,59.99999997,59.99999995
CaWO4,11.3,16815.9115,13923.94389,794.4097757,2,2.666666667,0.666666667,2.333333333,12,47.98566667,61.38881339,3.566251349,2.743333333,2.44,1.005744611,44.16,61.36665327,163.76,1.1547094,6,5.832173293,0.008119714,0.003202934,0.010684271,0.001900697,0,-2.732416663,4.3443,5.331584962,5.334337241,6.889212671,112.7930888,112.7779695,89.96857739
CdBr2,7.48,6253.371193,5179.48608,2757.051259,2,3.333333333,10,0,6,90.74066667,15.32536097,29.47615694,2.536666667,1.27,0.598683741,31.08333333,13.1286159,27.85,0.646212,3,4.412563251,0.001726928,0.000338649,0.002000679,0.001099442,0,-0.890467427,2.938,4.07383828,4.073838279,14.25503686,90,90,120
CdF2,9.02,5431.810951,114.5887305,68.0386536,2,3.333333333,3.333333333,0,3,50.13693544,44.03653466,8.759045228,3.216666667,2.29,1.079516353,19.01666667,21.66103773,45.95,0.402265,3,6.029136554,0.006156019,0.002607152,0.008362253,0.002016876,0,-2.502766837,2.8977,3.883826058,3.883826061,3.88382606,60.00000001,59.99999999,60.00000001
CdS,7.76,6032.255066,4870.251625,385.2745537,2,2,5,0,4,72.237,40.177,24.9456154,2.135,0.89,0.445,37.29,12.36,24.72,0.5700647,2,4.575652708,0.001486016,0.000243289,0.001790581,0.001195117,0,-0.972579552,1.1162,4.20653514,4.206535146,6.84292902,90,90,120
CdSe,6.2,5535.579814,2252.543293,0,2,2,10,0,2,95.6925,16.7215,46.38527572,2.12,0.86,0.43,37.945,11.705,23.41,0.6396264,2,5.300486625,0.001029675,0.000125663,0.001184233,0.000876431,0,-0.627580719,0.5101,4.393137677,4.393137675,4.39313767,59.99999997,59.99999998,59.99999997
CeO2,4.7,8543.970212,87.83323194,50.1054168,2,2.666666667,0.333333333,0.333333333,3,57.37133333,58.50931491,7.567458787,2.666666667,2.32,1.093658488,70.16,91.81074447,194.76,0.6478991,3,6.994758416,0.005307479,0.002395622,0.00733459,0.001502936,0,-3.945348217,1.8647,3.866071229,3.866071226,3.86607123,60.00000005,60.00000008,60.00000007
Nb2CoO6,18.4,6946.713197,4049.747861,3632.659514,1.777777778,2.666666667,1.666666667,0,36,37.85999267,32.26918918,2.418269421,2.857777778,1.84,0.826905581,33.46111111,42.01901169,100.76,0.9825147,9,5.312053976,0.010256248,0.003380948,0.012974736,0.003939488,0,-2.700250677,2.3241,5.09799879,5.83211382,14.33002582,90,90,90
CoO,5.3,1618.868799,1136.789917,62.06838587,2,2,3.5,0,4,37.466097,21.467097,12.58300499,2.66,1.56,0.78,31.475,26.235,52.47,0.222775,2,5.136133951,0.003765595,0.001449924,0.005687988,0.002186562,0,-1.330034741,0.588,3.261908249,3.261908147,5.585305586,90.00000332,73.02179187,60.00000069
Cr2O3,5.73,1723.761656,888.4263224,856.3880201,1.6,2.4,2,0,10,30.39784,17.63490544,4.425245903,2.728,1.78,0.872018348,34.504,35.84093392,73.16,0.5217875,5,4.892943122,0.006983163,0.002592215,0.009591404,0.003331402,0,-2.348802716,2.4365,5.453309718,5.453309717,5.453309715,55.67345218,55.67345215,55.67345217
CsAlH24(SO10)2,5,8778.473203,7214.071064,7214.071064,1.479166667,1.854166667,0,0,192,11.8370623,19.8251341,0.03973525,2.690833333,2.65,0.674119281,14.78813705,56.77066921,396.4928926,4.3380572,48,1.411711247,0.077548984,0.01764975,0.101219199,0.011808625,0.788562345,-0.874353404,0.4281,13.87885595,13.87885595,13.87885595,90,90,90
CsBr,3.36,7567.274043,2485.607107,0,1.5,2.5,5,0,2,106.404726,26.50072598,49.90228176,1.875,2.17,1.085,211.4,189.6,379.2,2.0439091,2,3.485262274,0.000864715,0.000501766,0.001537633,0.000333217,0,-1.809742475,4.2579,5.234073674,5.234074226,5.23407327,59.99999927,59.99999581,60.00000449
Cs2CO3,6.53,12390.91479,7264.969125,7159.164635,1.666666667,2.333333333,0,0,24,54.30315065,55.59810162,3.49874189,2.408333333,2.65,1.186808278,139.7083333,184.8401757,395.76,3.9645772,6,4.138067476,0.006369658,0.00387295,0.010786857,0.001258437,0,-2.08580193,3.6172,6.194108787,10.5030881,8.108661763,89.99993097,97.52463832,89.99917018
CsI,3.68,8001.622337,6386.20312,0,1.5,2.5,5,0,2,129.904961,3.00049098,64.91782844,1.725,1.87,0.935,217.8,183.2,366.4,2.1334131,2,3.554950097,0.000651423,0.000327581,0.001084351,0.00029215,0,-1.56833445,3.8572,5.557277546,5.557277567,5.55727772,59.99999909,59.99999896,60.00000321
CsNO3,13,8240.185637,6818.870454,209.614391,1.8,3,0,0,10,38.98189039,46.96811753,3.753348828,2.83,2.65,1.03169763,84.864,158.0706426,395.76,2.0636726,5,3.471116382,0.007743173,0.003291298,0.010414571,0.001215004,0.004258536,-1.507485149,3.0696,5.7236688,5.21069754,6.25279838,90,90,90
HgCl2,6.5,22143.37748,17671.98349,17460.54256,2,3.333333333,3.333333333,4.666666667,12,90.49733333,77.84868537,16.28592002,2.74,1.26,0.593969696,27.92333333,4.233212597,8.98,0.5695239,3,4.60284514,0.002681665,0.000643975,0.003211077,0.001538353,0,-0.993248192,2.8686,4.36733969,6.60372221,13.58439665,90,90,90
HgSe,7.5,18528.58447,2306.725298,0,2,2,10,7,2,139.7815,60.8105,56.66325956,2.225,0.65,0.325,30.075,3.835,7.67,0.6613893,2,7.517549409,0.000946586,0.00010075,0.001071461,0.000824729,0,-0.209803034,0,4.436587866,4.43658787,4.43658787,60.00000007,60.00000005,60.00000006
KBrO3,6.59,2590.058083,578.9151605,77.90505702,1.8,3.4,2,0,5,33.39986,24.91375942,4.432559333,2.82,2.62,1.017133226,65.624,112.6706935,285.36,1.5206678,5,3.009050057,0.006974207,0.002950976,0.009583488,0.001294186,0,-1.063400537,3.8455,4.541746233,4.54174623,4.541746236,83.81650206,83.81650212,83.81650211
KCN,6.15,593.0204462,74.70687375,8.598838644,1.666666667,1.666666667,0,0,3,21.70543333,12.32557942,5.548575171,2.136666667,2.22,0.952272137,106.2433333,130.4666794,283,1.4510134,3,1.611816946,0.003756611,0.00178346,0.005689096,0.001156734,0.168214189,-0.356454397,5.2873,5.78056742,4.471684562,4.471684668,72.39671591,50.19756587,50.19756496
K2CO3,4.96,1403.279412,575.4413049,547.0266512,1.666666667,2.333333333,0,0,24,23.0341,11.44627795,3.106343948,2.418333333,2.62,1.173178257,102.9083333,132.828099,285.36,2.7533196,6,2.288925836,0.006910844,0.00397077,0.011447907,0.001545964,0,-2.13284925,3.6392,5.731759236,7.147308394,9.87039588,90,90,97.32860826
KCl,2.468,639.5880267,395.3157053,0,1.5,2.5,0,0,2,37.27415,1.82415,18.5924392,1.99,2.34,1.17,157.765,132.835,265.67,1.3890548,2,1.893143732,0.001676936,0.000989432,0.003005305,0.000631911,0,-2.254359827,5.027,4.522152774,4.522152777,4.52215277,59.99999998,59.99999995,59.99999999
KClO3,5.1,888.7542903,508.9075025,418.9378558,1.8,3.4,0,0,10,24.50906,10.4863097,4.14426993,2.86,2.62,1.025748507,66.25,112.4339141,285.36,1.4714423,5,2.199650009,0.007409169,0.00301203,0.009911214,0.001338444,0.021245079,-1.285155295,5.4604,4.751183745,5.70128927,7.236104146,90,109.2710094,90
KClO4,5.9,1327.000211,521.8704048,521.0542873,1.833333333,3.5,0,0,24,23.09071667,10.08434752,3.291629157,2.956666667,2.62,0.961000636,56.08166667,105.1259366,285.36,1.4989048,6,2.374709994,0.0088898,0.003176516,0.01112104,0.001501823,0,-1.201071546,5.539,5.79013448,7.41812879,9.02232637,90,90,90
K2CrO4,7.3,2138.090781,990.6208106,961.2330126,1.571428571,2.285714286,0.714285714,0,28,27.74124286,14.13094203,3.121089306,2.437142857,2.62,1.186660552,97.22285714,124.778159,285.36,2.925125,7,2.590692109,0.007289421,0.003991472,0.011420833,0.001542307,0,-2.086546652,3.0699,6.04799849,7.77111895,10.59316045,90.00010859,90.00046907,89.99994396
KF,6.05,594.1155013,89.52694444,0,1.5,2.5,0,0,2,29.04835158,10.04994842,12.78566986,2.4,3.16,1.58,147.15,143.45,286.9,1.3163068,2,2.418272425,0.003260563,0.002645422,0.006921336,0.000762013,0,-2.956092243,5.9956,3.835336208,3.835336207,3.83533621,60.00000006,60.00000007,59.99999999
KI,3.76,6886.826212,573.6402792,0,1.5,2.5,5,0,2,83.001385,43.903085,29.88955569,1.74,1.84,0.92,162.6,128,256,1.5277843,2,2.972226224,0.001008729,0.0004524,0.001598057,0.000498384,0,-1.49920484,3.8513,5.080804801,5.080804802,5.0808048,60.00000001,60.00000001,60.00000001
KIO3,10,9019.801016,6268.839161,6245.493749,1.8,3.4,2,0,20,42.799954,42.99336056,4.52553761,2.76,2.62,1.015952755,68.184,111.7878379,285.36,1.6101718,5,3.822784249,0.006695567,0.003004118,0.009484529,0.001280823,0,-1.386585386,2.7768,7.788232794,7.79091011,7.791546226,108.9256654,108.8926424,108.7890522
KNO3,4.37,1002.359507,523.7162437,520.6904833,1.8,3,0,0,20,20.22046,9.470397054,3.515171342,2.836,2.62,1.019835281,62.784,113.9116671,285.36,1.4580438,5,1.990465411,0.008089588,0.003271043,0.010761619,0.001453285,0,-1.515823283,2.9158,5.49905856,6.59908829,9.29708997,90,90,90
K3PO4,7.75,1923.091472,668.0958596,618.644289,1.625,2.375,0,0,32,26.53308275,10.82382374,2.785277174,2.30125,2.62,1.213553022,114.71125,136.385047,285.36,4.2129277,8,2.510006703,0.006678981,0.004281151,0.012089732,0.001632638,0,-2.558368352,4.0019,6.01276839,8.2156366,11.37102057,90,90,90
KCSN,7.9,1148.986092,533.5693743,514.5828894,1.75,2.25,0,0,16,24.294075,11.5776996,4.729967013,2.2475,2.22,0.846740072,85.915,118.3464796,283,1.6558517,4,1.810025681,0.0040621,0.001633936,0.006161762,0.001252838,0.004644391,-0.692069828,4.1109,6.70334144,6.84992183,7.76653637,90,90,90
K2SO4,6.4,1643.617658,571.7374374,567.6921498,1.714285714,2.857142857,0,0,28,24.89322857,10.49734612,3.008783291,2.568571429,2.62,1.143471264,89.58428571,127.3076395,285.36,2.9102633,7,2.531375128,0.007560684,0.004002789,0.011632027,0.001570828,0,-2.390650662,5.2088,5.8675972,7.59625604,10.25860648,90,90,90
KTaO3,4.426,14851.63893,587.630664,88.56403764,1.8,2.4,0.6,2.8,5,53.608636,64.2950808,4.574257139,2.528,2.62,1.137477912,78.864,110.613815,285.36,1.7109699,5,6.796249327,0.006387216,0.003170025,0.009433885,0.001273983,0,-3.097557525,2.0983,4.03083933,4.03083933,4.03083933,90,90,90
LiBr,3.16,2835.169211,2246.0366,6.758586546,1.5,2.5,5,0,4,43.422,36.482,6.385400949,1.97,1.98,0.99,92.9,71.1,142.2,0.5128803,2,2.788735159,0.003009238,0.001026345,0.004298518,0.001787196,0,-1.572895285,4.935,4.188175107,4.188175107,6.80826051,90,90,119.9999673
Li2CO3,4.9,244.2172648,95.23427126,47.89613304,1.666666667,2.333333333,0,0,12,12.31466667,4.053583463,1.789058637,2.471666667,2.46,1.100703058,60.70833333,73.23801754,158.76,0.9025196,6,1.996752244,0.009920846,0.004486642,0.015084766,0.003376401,0,-2.260002997,5.0574,4.906923252,4.906923251,6.347791796,69.38285143,69.38285145,61.86175265
LiCl,2.7,449.6795359,6.098155168,0,1.5,2.5,0,0,2,21.195,14.255,5.803798066,2.07,2.18,1.09,94.465,69.535,139.07,0.4636548,2,2.058244268,0.003535043,0.001436531,0.005378989,0.001874607,0,-2.106838987,6.25,3.643542554,3.643542558,3.64354255,59.99999998,59.99999995,59.99999995
LiF,1.96,99.42487926,5.091525579,0,1.5,2.5,0,0,2,12.96920158,6.029201581,5.083154777,2.48,3,1.5,83.85,80.15,160.3,0.3909068,2,2.530431136,0.00587987,0.003763857,0.010977034,0.002003086,0,-3.180438733,8.7161,2.887419188,2.887419181,2.88741919,60.00000002,60.00000009,60.00000005
LiI,3.8,7493.088825,6257.359318,7.226305257,1.5,2.5,5,0,4,66.922235,59.982235,6.580152484,1.82,1.68,0.84,99.3,64.7,129.4,0.6023843,2,3.316300465,0.002585988,0.000671729,0.003405916,0.00176055,0,-1.235266045,4.3818,4.56607297,4.566073255,7.42356468,90,90,119.9999979
LiIO3,7.39,11287.57134,6601.683468,6568.554052,1.8,3.4,2,0,40,36.368294,45.4038502,2.94564795,2.792,2.46,0.955037172,42.864,61.62616379,158.76,0.6847718,5,3.893147538,0.008667649,0.003269874,0.011756024,0.002631334,0,-1.399080595,3.7255,6.2273072,9.98201092,9.98201092,90,90,90
